Risk Factor,Early Completion Dates,Project Result,Actual duration
1.2,"[0, 15, 20, 21, 20, 26, 33, 36, 32, 45, 52, 50]",Acceptable,422
1.4,"[0, 13, 17, 16, 19, 23, 31, 34, 32, 45, 50, 50]",Acceptable,403
1.0,"[0, 15, 24, 20, 20, 29, 34, 36, 34, 44, 49, 49]",Acceptable,408
1.2,"[0, 11, 18, 18, 17, 22, 27, 33, 29, 39, 46, 43]",Acceptable,413
1.0,"[0, 12, 17, 18, 17, 21, 26, 31, 26, 38, 44, 41]",Acceptable,394
0.8,"[0, 14, 20, 20, 18, 23, 30, 27, 27, 35, 43, 38]",Successful,313
1.4,"[0, 12, 19, 19, 15, 24, 32, 32, 30, 40, 46, 43]",Acceptable,401
1.2,"[0, 10, 13, 15, 13, 20, 26, 28, 28, 37, 43, 41]",Acceptable,400
1.2,"[0, 9, 17, 14, 14, 22, 27, 28, 28, 38, 46, 42]",Acceptable,403
1.4,"[0, 14, 22, 20, 18, 26, 33, 33, 34, 44, 49, 49]",Failed,430
1.4,"[0, 17, 25, 23, 21, 31, 39, 39, 36, 50, 56, 55]",Failed,453
1.2,"[0, 14, 22, 22, 19, 27, 34, 34, 35, 45, 52, 49]",Acceptable,415
0.8,"[0, 11, 17, 17, 15, 20, 24, 27, 23, 32, 40, 37]",Successful,371
1.4,"[0, 16, 24, 25, 20, 29, 35, 39, 34, 49, 55, 54]",Acceptable,406
0.8,"[0, 13, 18, 18, 15, 21, 26, 28, 28, 38, 46, 41]",Successful,376
1.4,"[0, 10, 18, 18, 15, 22, 29, 29, 30, 40, 44, 45]",Acceptable,404
1.0,"[0, 15, 20, 22, 19, 25, 30, 31, 32, 41, 49, 44]",Successful,372
1.4,"[0, 10, 18, 17, 13, 24, 30, 30, 29, 41, 46, 45]",Acceptable,422
1.0,"[0, 12, 17, 18, 15, 21, 28, 27, 26, 36, 43, 41]",Successful,385
1.2,"[0, 15, 20, 22, 18, 25, 30, 33, 30, 43, 51, 48]",Acceptable,412
1.2,"[0, 14, 21, 21, 19, 26, 33, 33, 33, 42, 49, 47]",Acceptable,400
1.2,"[0, 14, 20, 21, 16, 24, 28, 31, 31, 38, 45, 43]",Acceptable,392
1.4,"[0, 14, 22, 19, 19, 26, 34, 35, 34, 44, 50, 50]",Failed,433
